iter	Logloss
0	0.6258293888
1	0.5685655538
2	0.5212604423
3	0.4797204928
4	0.4462456728
5	0.4183975412
6	0.3969268282
7	0.3745445259
8	0.359608816
9	0.3431652083
10	0.3286338054
11	0.3166836358
12	0.3090456109
13	0.3005516592
14	0.2920898541
15	0.2846803098
16	0.277977612
17	0.2722552661
18	0.2675306472
19	0.2632994245
20	0.259571407
21	0.2560726405
22	0.253080683
23	0.2505773556
24	0.2483646147
25	0.2466630045
26	0.2448983215
27	0.2432217694
28	0.2423804752
29	0.2410082335
30	0.2397359463
31	0.2387563626
32	0.2379288465
33	0.2370706761
34	0.2362855886
35	0.2359202137
36	0.235259946
37	0.2347940977
38	0.2342432912
39	0.2337087448
40	0.2333212534
41	0.2328768186
42	0.2325170668
43	0.2321951173
44	0.2318671368
45	0.2315417036
46	0.2312817968
47	0.2310084269
48	0.2307624368
49	0.2305897266
50	0.2303988284
51	0.2301710145
52	0.2300045462
53	0.2298559831
54	0.22972558
55	0.2295779468
56	0.2294581845
57	0.229364348
58	0.2293144158
59	0.2291860955
60	0.2290741179
61	0.2289686073
62	0.228888766
63	0.2288002862
64	0.2287140697
65	0.2286021488
66	0.2285237382
67	0.2284421474
68	0.2283559268
69	0.2282960717
70	0.2282322882
71	0.2281561636
72	0.2281001119
73	0.2280426214
74	0.2279727294
75	0.2279118536
76	0.2278632717
77	0.227800432
78	0.227747738
79	0.2276946894
80	0.2276551183
81	0.2276055539
82	0.2275670597
83	0.227536912
84	0.2274774709
85	0.2274315121
86	0.2273875116
87	0.2273487607
88	0.2273042927
89	0.2272665599
90	0.2272237433
91	0.2271828093
92	0.2271359664
93	0.2270937014
94	0.227051493
95	0.2270073043
96	0.2269836601
97	0.2269423102
98	0.2269093075
99	0.2268813863
100	0.22684911
101	0.2268185834
102	0.2267962557
103	0.2267751754
104	0.2267550356
105	0.2267169271
106	0.2266870689
107	0.2266638619
108	0.2266191736
109	0.2265897761
110	0.2265560298
111	0.2265288374
112	0.2265016265
113	0.2264734754
114	0.2264490988
115	0.2264303411
116	0.226402309
117	0.2263746427
118	0.2263486473
119	0.2263175596
120	0.2262937739
121	0.2262666377
122	0.2262291141
123	0.2262104927
124	0.2261871272
125	0.2261686975
126	0.2261476903
127	0.2261257245
128	0.2261108799
129	0.2260950745
130	0.2260641548
131	0.2260470861
132	0.2260204683
133	0.2259965463
134	0.2259649618
135	0.225936165
136	0.225910154
137	0.2258779868
138	0.2258756427
139	0.2258605766
140	0.2258428195
141	0.2258269153
142	0.2257898864
143	0.22577722
144	0.2257477772
145	0.2257235883
146	0.2256997419
147	0.2256775406
148	0.2256676
149	0.2256444002
150	0.22563146
151	0.2255985978
152	0.2255800408
153	0.2255626125
154	0.2255356177
155	0.2255071147
156	0.2254765524
157	0.2254597145
158	0.2254397823
159	0.225417866
160	0.2254041604
161	0.2253848054
162	0.2253659055
163	0.2253537175
164	0.2253272762
165	0.2253154202
166	0.2252957317
167	0.2252823964
168	0.2252490328
169	0.2252278676
170	0.2252193676
171	0.2252181065
172	0.2252087148
173	0.2251787656
174	0.2251673206
175	0.225153774
176	0.2251323082
177	0.2251245298
178	0.2251116916
179	0.2250742031
180	0.2250563222
181	0.2250318096
182	0.2249992453
183	0.2249752429
184	0.2249597772
185	0.2249393789
186	0.2249268746
187	0.2249129009
188	0.2248924702
189	0.2248613245
190	0.2248406787
191	0.2248260779
192	0.2248092492
193	0.2247943368
194	0.2247726464
195	0.2247546693
196	0.2247265941
197	0.2247161254
198	0.2247016099
199	0.2246798559
200	0.2246633738
201	0.2246435778
202	0.2246219552
203	0.2246075172
204	0.2245844289
205	0.224564478
206	0.2245482899
207	0.2245256071
208	0.22451274
209	0.22448874
210	0.2244713089
211	0.2244575259
212	0.2244336262
213	0.2244165322
214	0.2244031047
215	0.2243876245
216	0.224370032
217	0.2243475606
218	0.224330193
219	0.224314175
220	0.2242926135
221	0.2242718212
222	0.2242523304
223	0.2242324024
224	0.2242206992
225	0.2241927328
226	0.2241819882
227	0.2241480828
228	0.2241333441
229	0.2241154332
230	0.2240948267
231	0.2240659861
232	0.2240524513
233	0.224028225
234	0.2240162327
235	0.2239945009
236	0.2239789007
237	0.2239471381
238	0.2239321506
239	0.2239188168
240	0.2238954928
241	0.2238818924
242	0.223869128
243	0.2238571516
244	0.2238342474
245	0.2238197355
246	0.2238016091
247	0.2237903046
248	0.223768051
249	0.2237509892
250	0.2237351034
251	0.2237218884
252	0.2237049612
253	0.2236912841
254	0.2236715278
255	0.2236466174
256	0.2236325017
257	0.2236150564
258	0.2236005032
259	0.2235893692
260	0.2235635187
261	0.223541143
262	0.2235182479
263	0.223499372
264	0.2234773842
265	0.2234675237
266	0.2234495444
267	0.2234339525
268	0.2234153676
269	0.2234010692
270	0.2233792617
271	0.2233557538
272	0.2233466224
273	0.2233208307
274	0.2233065046
275	0.2232815231
276	0.2232630665
277	0.2232475149
278	0.2232271618
279	0.2232097858
280	0.2231947535
281	0.2231753475
282	0.2231553931
283	0.2231464751
284	0.2231301371
285	0.2231138355
286	0.2230999939
287	0.2230762758
288	0.2230500139
289	0.223038065
290	0.2230134904
291	0.2229922384
292	0.2229709102
293	0.2229435025
294	0.2229294093
295	0.2229086782
296	0.2228885593
297	0.2228725578
298	0.222851202
299	0.2228249909
